REGEX
(((0)[1-9])|([1-2][0-9])|((3)[0-1]))(\/)(((0)[1-9])|((1)[0-2]))(\/)(((2)(0)(0)[5-9])|((2)(0)(1)[0-9])|((2)(0)(2)(0)))

Casos encontrados
Armas 01/03/2005 Pérez, Susana
Robo menor 07/05/2018 Cruz, Armando
Robo menor 30/06/2011 Hernández, Ana
Armas 01/06/2018 López, Miguel
Drogas 13/09/2013 De la Torre, Armando
Armas 07/11/2008 Ramírez, Pedro
Armas 15/01/2014 Juárez, Matilda
Robo menor 20/06/2020 Hernández, Matilda
Armas 11/10/2006 Ramírez, Miguel
Violencia intrafamiliar 07/05/2010 López, Susana
Drogas 29/10/2019 Hernández, Susana
Violencia intrafamiliar 02/07/2008 Pérez, Ernesto
Violencia intrafamiliar 24/07/2008 Hernández, Ernesto
Robo menor 24/09/2008 Ramírez, Ernesto
Robo menor 05/02/2008 Juárez, Ana
Drogas 15/08/2017 Cruz, Ernesto
Drogas 11/10/2013 Juárez, Ana
Violencia intrafamiliar 21/04/2015 Cruz, Armando
Violencia intrafamiliar 25/09/2005 Ramírez, Miguel
Robo menor 08/09/2009 Juárez, Miguel
Robo menor 28/02/2013 Hernández, Armando
Robo menor 02/07/2019 Ramírez, Matilda
Violencia intrafamiliar 27/03/2013 Juárez, Susana
Armas 15/12/2016 Hernández, Miguel
Violencia intrafamiliar 01/12/2017 Hernández, Matilda
Robo menor 08/04/2020 Juárez, Ernesto
Robo menor 29/09/2019 Hernández, Miguel
Robo menor 03/09/2016 Cruz, Ana
Violencia intrafamiliar 09/06/2020 Ramírez, Ana
Armas 11/10/2005 Pérez, Pedro
Armas 21/03/2015 Ramírez, Matilda
Robo menor 04/06/2013 López, Ernesto
Violencia intrafamiliar 17/12/2008 Cruz, Ana
Robo menor 28/01/2015 Pérez, Susana
Violencia intrafamiliar 11/11/2014 Ramírez, Armando
Armas 14/12/2005 Ramírez, Ernesto
Armas 18/02/2017 Hernández, Ana
Violencia intrafamiliar 31/01/2007 Cruz, Armando
Armas 21/06/2011 Hernández, Pedro
Violencia intrafamiliar 10/03/2013 Hernández, Susana
Armas 28/07/2007 Pérez, Pedro
Armas 23/01/2015 López, Susana
Robo menor 25/07/2008 Juárez, Ernesto
Robo menor 18/03/2018 López, Susana
Violencia intrafamiliar 15/02/2017 Juárez, Miguel
Armas 17/07/2017 Juárez, Ernesto
Armas 11/06/2011 Hernández, Ernesto
Robo menor 10/02/2017 Pérez, Pedro
Violencia intrafamiliar 30/06/2017 López, Armando
Violencia intrafamiliar 16/04/2005 Hernández, Matilda
Drogas 07/03/2005 López-Gatell, Ana
Violencia intrafamiliar 27/03/2018 Pérez, Miguel
Robo menor 06/04/2009 Juárez, Armando
Violencia intrafamiliar 22/07/2016 Juárez, Pedro
Armas 01/01/2015 Ramírez, Ana
Robo menor 26/11/2009 Pérez, Ana
Armas 19/12/2009 Pérez, Susana
Violencia intrafamiliar 19/01/2013 Hernández, Ernesto
Violencia intrafamiliar 13/07/2016 Cruz, Ana
Robo menor 20/02/2009 Hernández, Ernesto
Violencia intrafamiliar 05/05/2019 Juárez, Miguel
Armas 09/09/2017 López, Ana
Robo menor 01/02/2011 López, Susana
Robo menor 06/02/2006 Pérez, Ernesto
Violencia intrafamiliar 11/11/2019 López, Miguel
Robo menor 21/08/2018 Cruz, Ana
Robo menor 28/05/2013 Cruz, Matilda
Robo menor 19/08/2017 Juárez, Miguel
Robo menor 11/11/2006 Hernández, Ana
Robo menor 06/10/2013 Ramírez, Matilda
Armas 30/05/2018 Hernández, Ana
Armas 14/08/2011 Hernández, Matilda
Armas 13/10/2018 Pérez, Armando
Armas 11/07/2016 Cruz, Matilda
Armas 15/07/2019 Pérez, Matilda
Violencia intrafamiliar 05/12/2012 Juárez, Pedro
Armas 25/04/2006 Cruz, Ana
Armas 02/12/2020 Ramírez, Pedro
Armas 30/06/2013 Juárez, Pedro
Violencia intrafamiliar 24/03/2017 Juárez, Miguel
Violencia intrafamiliar 25/01/2016 Ramírez, Miguel
Robo menor 27/03/2018 Cruz, Miguel
Drogas 06/07/2008 Shang, Jorge
Robo menor 01/09/2006 Hernández, Miguel
Robo menor 15/07/2013 López, Armando
Robo menor 21/07/2014 López, Matilda
Armas 21/03/2016 López, Ana
Violencia intrafamiliar 07/12/2013 López, Miguel
Robo menor 19/02/2008 Juárez, Matilda
Armas 31/01/2005 Cruz, Miguel
Robo menor 23/04/2017 López, Ernesto
Violencia intrafamiliar 22/07/2020 Pérez, Matilda
Armas 11/03/2006 López, Armando
Armas 19/10/2009 Juárez, Ana
Armas 10/09/2014 López, Pedro
